timestamp,action,resource_type,resource_name,module
2025-01-18T19:41:55.592729Z,delete,azurerm_role_assignment,app,
2025-01-18T19:41:55.592857Z,delete,azurerm_network_interface_backend_address_pool_association,association,"module.vm[""1""]"
2025-01-18T19:41:55.592884Z,delete,azurerm_virtual_machine_data_disk_attachment,disk_attachment,"module.vm[""1""]"
2025-01-18T19:41:55.592897Z,delete,azurerm_private_endpoint,pnp_blob,module.sa
2025-01-18T19:41:55.592909Z,delete,azurerm_storage_account_customer_managed_key,cmk_sa,module.sa
2025-01-18T19:41:55.592920Z,delete,azurerm_lb_rule,rule,module.lb
2025-01-18T19:41:55.592932Z,delete,azurerm_managed_disk,managed_disk,"module.data-disk[""1""]"
2025-01-18T19:41:55.592943Z,delete,azurerm_lb_probe,probe,module.lb
2025-01-18T19:41:55.592955Z,delete,azurerm_key_vault_key,key,module.sa
2025-01-18T19:41:55.592973Z,delete,azurerm_linux_virtual_machine,vm,"module.vm[""1""]"
2025-01-18T19:41:55.592983Z,delete,azurerm_role_assignment,rbac,module.sa
2025-01-18T19:41:55.592994Z,delete,azurerm_orchestrated_virtual_machine_scale_set,vmss,module.vmss
2025-01-18T19:41:55.593006Z,delete,azurerm_network_interface,nic,"module.vm[""1""]"
2025-01-18T19:41:55.593018Z,delete,azurerm_user_assigned_identity,app,
2025-01-18T19:41:55.593029Z,delete,azurerm_lb_backend_address_pool,pool,module.lb
2025-01-18T19:41:55.593043Z,delete,azapi_resource,image,"module.vm_image[""1""]"
2025-01-18T19:41:55.593057Z,delete,azapi_resource,image,module.vmss_image
2025-01-18T19:41:55.593070Z,delete,azurerm_storage_account,sa,module.sa
2025-01-18T19:41:55.593083Z,delete,azurerm_role_assignment,rbac,
2025-01-18T19:41:55.593093Z,delete,azurerm_private_dns_a_record,lb,module.lb
2025-01-18T19:41:55.593107Z,delete,azurerm_lb,lb,module.lb
2025-01-18T19:41:55.593117Z,delete,random_string,random,
